0.236,10.731,0.118,0.121,0.354,2.096,0.219,0.935,1.186,1.682,2.805,0.9881,0.0173,24.431,221.169,219.790,5.720,195.203,225.275,295,294,4.549,0.122,0,0,0  
0.457,22.479,0.198,0.221,0.594,3.446,0.392,1.350,1.852,3.746,4.050,0.9609,0.0528,22.032,223.402,203.372,39.725,105.754,228.985,202,201,4.914,1.225,0.364,0,0  
0.420,19.406,0.201,0.203,0.602,3.817,0.529,1.592,2.023,3.508,4.777,0.9814,0.0215,21.357,222.508,216.219,14.626,177.132,240.847,224,223,4.619,0.327,0,0,0  
0.282,12.781,0.146,0.152,0.437,2.950,0.314,1.300,1.281,1.993,3.900,0.9894,0.0138,24.423,222.915,220.247,6.948,188.278,227.536,253,252,4.535,0.141,0,0,0  
0.239,10.657,0.122,0.125,0.366,3.009,0.275,1.324,1.358,2.479,3.971,0.9910,0.0092,21.892,227.438,224.322,9.354,202.607,237.587,243,242,4.456,0.190,0,0,0  
0.232,10.573,0.103,0.110,0.308,2.474,0.250,1.017,1.173,2.349,3.051,0.9936,0.0065,23.756,221.684,219.240,7.862,201.272,227.208,222,221,4.561,0.166,0,0,0  
0.373,16.898,0.181,0.201,0.542,2.863,0.294,1.473,1.499,2.395,4.419,0.9891,0.0128,23.205,230.410,221.087,33.518,102.307,253.393,233,232,4.535,1.002,0,0,0  
0.319,13.968,0.176,0.146,0.529,2.773,0.292,1.231,1.604,2.856,3.694,0.9913,0.0095,25.801,228.379,228.199,8.060,211.543,248.328,201,200,4.381,0.158,0,0,0  
0.339,15.118,0.183,0.135,0.550,3.054,0.283,1.351,1.393,2.868,4.053,0.9937,0.0066,25.189,227.311,223.939,10.199,195.448,235.055,190,189,4.462,0.205,0,0,0  
0.414,18.249,0.210,0.199,0.630,3.857,0.507,1.841,2.195,3.324,5.523,0.9914,0.0096,26.225,224.266,226.629,36.421,194.413,486.278,219,218,4.409,0.530,0,0,0  
0.301,13.624,0.134,0.158,0.403,3.555,0.432,1.259,1.704,3.420,3.778,0.9939,0.0063,25.674,226.798,220.642,11.645,196.127,232.355,160,159,4.530,0.245,0,0,0  
0.686,31.193,0.383,0.421,1.150,3.536,0.553,1.373,1.685,3.263,4.119,0.9794,0.0317,25.872,224.112,219.845,11.717,192.373,254.132,184,183,4.550,0.277,0.43100000000000005,0,0  
0.493,21.943,0.249,0.205,0.746,3.496,0.342,1.269,1.507,3.327,3.808,0.9937,0.0066,27.340,227.895,225.071,9.493,203.700,236.902,209,208,4.447,0.198,0,0,0  
0.477,21.115,0.212,0.196,0.637,5.094,0.505,2.427,2.580,4.356,7.281,0.9933,0.0070,25.000,230.044,226.279,8.886,201.231,237.550,157,156,4.424,0.186,0,0,0  
0.251,9.993,0.141,0.114,0.422,1.670,0.223,0.565,0.706,1.217,1.696,0.9966,0.0036,32.123,252.214,251.231,6.387,214.507,259.847,400,399,3.981,0.105,0,0,0  
1.047,110.558,0.548,0.563,1.643,4.481,0.424,1.949,3.057,4.848,5.847,0.9554,0.0622,16.599,95.136,94.713,3.242,83.328,101.462,299,298,10.559,0.368,0.795,0,0  
0.836,73.980,0.392,0.353,1.177,7.008,0.650,3.378,3.924,6.517,10.133,0.9649,0.0406,18.669,114.212,112.917,4.438,92.262,116.549,113,112,8.853,0.361,0,0,0  
1.958,178.922,1.182,0.862,3.547,6.425,0.618,3.527,3.499,4.988,10.582,0.9257,0.1084,15.466,109.873,109.498,3.133,87.544,121.053,342,339,9.140,0.306,2.954,2,6.52  
0.858,76.167,0.443,0.385,1.328,4.610,0.470,1.884,2.716,5.123,5.653,0.9649,0.0501,20.042,111.826,112.747,7.229,84.202,150.743,266,264,8.880,0.530,12.85,1,14.442  
4.844,429.195,2.715,2.353,8.146,14.949,1.778,7.448,7.510,9.603,22.343,0.8296,0.3328,12.886,108.673,117.806,48.141,87.571,452.631,232,221,8.861,2.130,11.15,9,34.952  
2.761,256.787,1.317,1.007,3.950,6.889,0.796,2.927,3.197,5.981,8.782,0.8968,0.1660,15.957,108.349,107.876,9.645,80.520,147.517,138,135,9.302,1.137,23.122,2,46.027  
5.681,459.349,3.379,2.411,10.137,14.905,1.498,7.883,8.722,9.158,23.648,0.8578,0.2278,11.380,113.022,124.731,46.692,82.320,312.726,290,283,8.086,2.099,10.903,6,28.991  
5.094,425.282,2.906,2.479,8.719,25.124,2.800,13.477,15.101,11.758,40.430,0.7537,0.4494,8.710,112.881,120.101,21.904,89.391,160.797,186,176,8.349,1.634,20.307,8,22.795  
5.941,402.218,3.554,2.789,10.661,20.347,2.654,11.110,12.560,12.606,33.330,0.8071,0.3145,10.403,111.974,158.059,81.518,79.812,329.650,372,349,6.770,2.896,4.348,3,9.985  
2.604,236.551,1.311,0.838,3.933,7.196,0.773,3.620,3.749,5.910,10.860,0.9335,0.1036,16.751,109.821,110.969,7.991,84.475,153.744,392,386,9.085,0.836,4.156,5,13.420000000000002  
3.036,272.304,1.809,1.124,5.427,11.796,1.465,6.287,5.335,7.544,18.862,0.8659,0.2124,13.907,109.376,111.577,10.214,77.268,148.407,173,168,8.970,0.805,29.808,4,38.112  
4.052,393.059,2.403,1.569,7.210,6.317,0.801,3.239,3.142,4.874,9.716,0.8763,0.2381,16.829,105.678,103.343,9.540,73.041,115.128,221,214,9.700,1.059,3.933,5,11.858  
2.346,209.022,1.123,0.611,3.370,5.535,0.735,2.550,2.472,3.325,7.649,0.9226,0.1302,18.305,111.801,112.516,6.805,91.934,144.169,274,264,8.911,0.659,13.047,8,39.433  
6.076,561.220,3.584,2.761,10.752,12.133,1.478,7.107,5.891,5.873,21.322,0.7801,0.4005,10.639,110.904,109.218,12.924,68.954,140.752,300,286,9.236,1.298,6.519,10,49.308  
2.289,221.518,1.005,0.437,3.014,4.002,0.444,1.905,2.009,3.126,5.715,0.9551,0.0814,21.702,104.065,103.821,10.087,67.907,120.635,247,239,9.679,1.162,7.134,6,22.288  
0.298,16.802,0.165,0.167,0.495,2.814,0.254,1.440,1.653,2.327,4.321,0.9894,0.0110,20.674,177.386,176.970,6.772,78.782,182.747,709,707,5.644,0.227,0,1,0.45600000000000007  
